text,label
Create a blog platform for my content,Web Development
Can you manage our agile workflow?,Project Management
Need AI for predictive analytics,AI Solutions
Build a chatbot for customer support,AI Solutions
Create a brochure for our product,Graphic Design
Create a brochure for our product,Graphic Design
Can you make a 3D architectural plan?,3D Modeling
Can you manage our agile workflow?,Project Management
Can you manage our agile workflow?,Project Management
Can you build an e-commerce store?,Web Development
Set up project tracking dashboard,Project Management
Create a 3D model of a car,3D Modeling
Create a 3D model of a car,3D Modeling
Can you make a 3D architectural plan?,3D Modeling
Need a booking system web app,Web Development
Need a booking system web app,Web Development
I need a 3D character for a game,3D Modeling
Design business cards with a modern style,Graphic Design
Can you manage our agile workflow?,Project Management
Set up project tracking dashboard,Project Management
Develop a responsive portfolio website,Web Development
Create a 3D model of a car,3D Modeling
Need support for remote project collaboration,Project Management
I need a 3D character for a game,3D Modeling
Design a new company logo,Graphic Design
Can you make an image recognition model?,AI Solutions
Can you make a social media banner?,Graphic Design
Develop a recommendation system,AI Solutions
I need a website for my business,Web Development
Set up project tracking dashboard,Project Management
Design business cards with a modern style,Graphic Design
I need a poster for an event,Graphic Design
Create a 3D model of a car,3D Modeling
Set up project tracking dashboard,Project Management
Create a blog platform for my content,Web Development
Design a new company logo,Graphic Design
I need a 3D character for a game,3D Modeling
Help manage our software project deadlines,Project Management
Need support for remote project collaboration,Project Management
Need AI for predictive analytics,AI Solutions
Create a brochure for our product,Graphic Design
Can you make a 3D architectural plan?,3D Modeling
Create a brochure for our product,Graphic Design
Design business cards with a modern style,Graphic Design
Create a brochure for our product,Graphic Design
Set up project tracking dashboard,Project Management
Can you manage our agile workflow?,Project Management
Can you make an image recognition model?,AI Solutions
I need a website for my business,Web Development
I need a website for my business,Web Development
Create a brochure for our product,Graphic Design
Help manage our software project deadlines,Project Management
Need support for remote project collaboration,Project Management
I need a 3D character for a game,3D Modeling
Create a 3D model of a car,3D Modeling
Assist with task management and reporting,Project Management
Can you manage our agile workflow?,Project Management
I need a 3D character for a game,3D Modeling
Set up project tracking dashboard,Project Management
Develop a recommendation system,AI Solutions
I need a poster for an event,Graphic Design
Can you make an image recognition model?,AI Solutions
Need support for remote project collaboration,Project Management
I need a website for my business,Web Development
Create a 3D model of a car,3D Modeling
Can you make an image recognition model?,AI Solutions
Automate text summarization using AI,AI Solutions
Design business cards with a modern style,Graphic Design
Automate text summarization using AI,AI Solutions
Help manage our software project deadlines,Project Management
Can you manage our agile workflow?,Project Management
Develop a recommendation system,AI Solutions
I need a website for my business,Web Development
Need AI for predictive analytics,AI Solutions
I need a 3D character for a game,3D Modeling
I need a 3D character for a game,3D Modeling
I need a 3D character for a game,3D Modeling
Develop a recommendation system,AI Solutions
I need a 3D character for a game,3D Modeling
Design furniture in 3D,3D Modeling
Help manage our software project deadlines,Project Management
Design a new company logo,Graphic Design
Design business cards with a modern style,Graphic Design
I need a website for my business,Web Development
Can you make an image recognition model?,AI Solutions
Create a blog platform for my content,Web Development
Create a blog platform for my content,Web Development
Develop a responsive portfolio website,Web Development
Automate text summarization using AI,AI Solutions
Can you manage our agile workflow?,Project Management
Help manage our software project deadlines,Project Management
I need a poster for an event,Graphic Design
Set up project tracking dashboard,Project Management
Design a new company logo,Graphic Design
